agent,time,x,y,z
5,54,70.0,24.0,40.0
6,54,60.0,60.0,24.0
7,54,31.0,57.0,7.0
8,54,35.0,23.0,67.0
9,54,83.0,15.0,43.0
0,55,64.0,11.0,10.0
1,55,35.0,10.0,10.0
2,55,50.0,75.0,50.0
3,55,75.0,50.0,20.0
4,55,65.0,30.0,70.0
5,55,70.0,25.0,40.0
6,55,60.0,60.0,25.0
7,55,30.0,57.0,7.0
8,55,35.0,24.0,67.0
9,55,83.0,16.0,43.0
0,56,65.0,11.0,10.0
1,56,34.0,10.0,10.0
2,56,50.0,76.0,50.0
3,56,76.0,50.0,20.0
4,56,66.0,30.0,70.0
5,56,70.0,26.0,40.0
6,56,60.0,60.0,26.0
7,56,29.0,57.0,7.0
8,56,35.0,25.0,67.0
9,56,83.0,17.0,43.0
0,57,66.0,11.0,10.0
1,57,33.0,10.0,10.0
2,57,50.0,77.0,50.0
3,57,77.0,50.0,20.0
4,57,67.0,30.0,70.0
5,57,70.0,27.0,40.0
6,57,60.0,60.0,27.0
7,57,28.0,57.0,7.0
8,57,35.0,26.0,67.0
9,57,83.0,18.0,43.0
0,58,67.0,11.0,10.0
1,58,32.0,10.0,10.0
2,58,50.0,78.0,50.0
3,58,78.0,50.0,20.0
4,58,68.0,30.0,70.0
5,58,70.0,28.0,40.0
6,58,60.0,60.0,28.0
7,58,27.0,57.0,7.0
8,58,35.0,27.0,67.0
9,58,83.0,19.0,43.0
0,59,68.0,11.0,10.0
1,59,31.0,10.0,10.0
2,59,50.0,79.0,50.0
3,59,79.0,50.0,20.0
4,59,69.0,30.0,70.0
5,59,70.0,29.0,40.0
6,59,60.0,60.0,29.0
7,59,26.0,57.0,7.0
8,59,35.0,28.0,67.0
9,59,83.0,20.0,43.0
0,60,69.0,11.0,10.0
1,60,30.0,10.0,10.0
2,60,50.0,80.0,50.0
3,60,80.0,50.0,20.0
4,60,70.0,30.0,70.0
5,60,70.0,30.0,40.0
6,60,60.0,60.0,30.0
7,60,25.0,57.0,7.0
8,60,35.0,29.0,67.0
9,60,83.0,21.0,43.0
0,61,70.0,11.0,10.0
1,61,29.0,10.0,10.0
2,61,50.0,80.0,50.0
3,61,80.0,50.0,21.0
4,61,71.0,30.0,70.0
5,61,70.0,31.0,40.0
6,61,60.0,60.0,31.0
7,61,24.0,57.0,7.0
8,61,35.0,30.0,67.0
9,61,83.0,22.0,43.0
0,62,71.0,11.0,10.0
1,62,28.0,10.0,10.0
2,62,50.0,80.0,50.0
3,62,80.0,50.0,22.0
4,62,72.0,30.0,70.0
5,62,70.0,32.0,40.0
6,62,60.0,60.0,32.0
7,62,23.0,57.0,7.0
8,62,35.0,31.0,67.0
9,62,83.0,23.0,43.0
0,63,72.0,11.0,10.0
1,63,27.0,10.0,10.0
2,63,50.0,80.0,50.0
3,63,80.0,50.0,23.0
4,63,73.0,30.0,70.0
5,63,70.0,33.0,40.0
6,63,60.0,60.0,33.0
7,63,22.0,57.0,7.0
8,63,35.0,32.0,67.0
9,63,83.0,24.0,43.0
0,64,73.0,11.0,10.0
1,64,26.0,10.0,10.0
2,64,50.0,80.0,50.0
3,64,80.0,50.0,24.0
4,64,74.0,30.0,70.0
5,64,70.0,34.0,40.0
6,64,60.0,60.0,34.0
7,64,21.0,57.0,7.0
8,64,35.0,33.0,67.0
9,64,83.0,25.0,43.0
0,65,74.0,11.0,10.0
1,65,25.0,10.0,10.0
2,65,50.0,80.0,50.0
3,65,80.0,50.0,25.0
4,65,75.0,30.0,70.0
5,65,70.0,35.0,40.0
6,65,60.0,60.0,35.0
7,65,21.0,56.0,7.0
8,65,35.0,34.0,67.0
9,65,83.0,26.0,43.0
0,66,75.0,11.0,10.0
1,66,24.0,10.0,10.0
2,66,50.0,80.0,50.0
3,66,80.0,50.0,26.0
4,66,76.0,30.0,70.0
5,66,70.0,36.0,40.0
6,66,60.0,60.0,36.0
7,66,21.0,55.0,7.0
8,66,35.0,35.0,67.0
9,66,83.0,27.0,43.0
0,67,76.0,11.0,10.0
1,67,23.0,10.0,10.0
2,67,50.0,80.0,50.0
3,67,80.0,50.0,27.0
4,67,77.0,30.0,70.0
5,67,70.0,37.0,40.0
6,67,60.0,60.0,37.0
7,67,21.0,54.0,7.0
8,67,35.0,36.0,67.0
9,67,83.0,28.0,43.0
0,68,77.0,11.0,10.0
1,68,22.0,10.0,10.0
2,68,50.0,80.0,50.0
3,68,80.0,50.0,28.0
4,68,78.0,30.0,70.0
5,68,70.0,38.0,40.0
6,68,60.0,60.0,38.0
7,68,21.0,53.0,7.0
8,68,35.0,37.0,67.0
9,68,83.0,29.0,43.0
0,69,78.0,11.0,10.0
1,69,21.0,10.0,10.0
2,69,50.0,80.0,50.0
3,69,80.0,50.0,29.0
4,69,79.0,30.0,70.0
5,69,70.0,39.0,40.0
6,69,60.0,60.0,39.0
7,69,21.0,52.0,7.0
8,69,35.0,38.0,67.0
9,69,83.0,30.0,43.0
0,70,79.0,11.0,10.0
1,70,20.0,10.0,10.0
2,70,50.0,80.0,50.0
3,70,80.0,50.0,30.0
4,70,80.0,30.0,70.0
5,70,70.0,40.0,40.0
6,70,60.0,60.0,40.0
7,70,21.0,51.0,7.0
8,70,35.0,39.0,67.0
9,70,83.0,31.0,43.0
0,71,80.0,11.0,10.0
1,71,19.0,10.0,10.0
2,71,50.0,80.0,50.0
3,71,80.0,50.0,31.0
4,71,81.0,30.0,70.0
5,71,70.0,41.0,40.0
6,71,60.0,60.0,41.0
7,71,21.0,50.0,7.0
8,71,35.0,40.0,67.0
9,71,83.0,32.0,43.0
0,72,81.0,11.0,10.0
1,72,18.0,10.0,10.0
2,72,50.0,80.0,50.0
3,72,80.0,50.0,32.0
4,72,82.0,30.0,70.0
5,72,70.0,42.0,40.0
6,72,60.0,60.0,42.0
7,72,21.0,49.0,7.0
8,72,35.0,41.0,67.0
9,72,83.0,33.0,43.0
0,73,82.0,11.0,10.0
1,73,17.0,10.0,10.0
2,73,50.0,80.0,50.0
3,73,80.0,50.0,33.0
4,73,83.0,30.0,70.0
5,73,70.0,43.0,40.0
6,73,60.0,60.0,43.0
7,73,21.0,48.0,7.0
8,73,35.0,42.0,67.0
