agent,time,x,y,z
1,29.6,19.0,8.4,0.0
2,29.6,10.0,10.0,19.0
3,29.6,0.0,0.0,10.6
0,29.8,19.0,9.8,1.0
1,29.8,19.0,8.2,0.0
2,29.8,10.0,10.0,19.0
3,29.8,0.0,0.0,10.8
0,30.0,19.0,10.0,1.0
1,30.0,19.0,8.0,0.0
2,30.0,10.0,10.0,19.0
3,30.0,0.0,0.0,11.0
0,30.2,19.0,10.2,1.0
1,30.2,19.0,7.8,0.0
2,30.2,10.0,10.0,19.0
3,30.2,0.0,0.0,11.2
0,30.4,19.0,10.4,1.0
1,30.4,19.0,7.6,0.0
2,30.4,10.0,10.0,19.0
3,30.4,0.0,0.0,11.4
0,30.6,19.0,10.6,1.0
1,30.6,19.0,7.4,0.0
2,30.6,10.0,10.0,19.0
3,30.6,0.0,0.0,11.6
0,30.8,19.0,10.8,1.0
1,30.8,19.0,7.2,0.0
2,30.8,10.0,10.0,19.0
3,30.8,0.0,0.0,11.8
0,31.0,19.0,11.0,1.0
1,31.0,19.0,7.0,0.0
2,31.0,10.0,10.0,19.0
3,31.0,0.0,0.0,12.0
0,31.2,19.0,11.2,1.0
1,31.2,19.0,6.8,0.0
2,31.2,10.0,10.0,19.0
3,31.2,0.0,0.0,12.2
0,31.4,19.0,11.4,1.0
1,31.4,19.0,6.6,0.0
2,31.4,10.0,10.0,19.0
3,31.4,0.0,0.0,12.4
0,31.6,19.0,11.6,1.0
1,31.6,19.0,6.4,0.0
2,31.6,10.0,10.0,19.0
3,31.6,0.0,0.0,12.6
0,31.8,19.0,11.8,1.0
1,31.8,19.0,6.2,0.0
2,31.8,10.0,10.0,19.0
3,31.8,0.0,0.0,12.8
0,32.0,19.0,12.0,1.0
1,32.0,19.0,6.0,0.0
2,32.0,10.0,10.0,19.0
3,32.0,0.0,0.0,13.0
0,32.2,19.0,12.2,1.0
1,32.2,19.0,5.8,0.0
2,32.2,10.0,10.0,19.0
3,32.2,0.0,0.0,13.2
0,32.4,19.0,12.4,1.0
1,32.4,19.0,5.6,0.0
2,32.4,10.0,10.0,19.0
3,32.4,0.0,0.0,13.4
0,32.6,19.0,12.6,1.0
1,32.6,19.0,5.4,0.0
2,32.6,10.0,10.0,19.0
3,32.6,0.0,0.0,13.6
0,32.8,19.0,12.8,1.0
1,32.8,19.0,5.2,0.0
2,32.8,10.0,10.0,19.0
3,32.8,0.0,0.0,13.8
0,33.0,19.0,13.0,1.0
1,33.0,19.0,5.0,0.0
2,33.0,10.0,10.0,19.0
3,33.0,0.0,0.0,14.0
0,33.2,19.0,13.2,1.0
1,33.2,19.0,4.8,0.0
2,33.2,10.0,10.0,19.0
3,33.2,0.0,0.0,14.2
0,33.4,19.0,13.4,1.0
1,33.4,19.0,4.6,0.0
