agent,time,x,y,z,collision_risk,attractive_magnitude,repulsive_magnitude,total_magnitude,displacement_magnitude
7,14.6,76.68824632524768,52.87655978672283,11.948128255932604,0.0,1.5609299463800597,0.0,1.5609299463800597,0.4682789839140173
8,14.6,64.0016898760584,4.852182371298251,66.75923860179387,0.0,2.120211890953726,0.0,2.120211890953726,0.6360635672861241
9,14.6,39.12114080631704,17.081510232475303,42.383035193806855,0.0,1.812538963954239,0.0,1.812538963954239,0.5437616891862718
0,14.8,16.091760679950298,14.35411966002485,14.35411966002485,0.0,1.8493835877795073,0.0,1.8493835877795073,0.554815076333851
1,14.8,83.9082393200497,14.354119660024852,14.354119660024852,0.0,1.8493835877795208,0.0,1.8493835877795208,0.5548150763338611
2,14.8,50.0,34.8,50.0,0.0,0.0,0.0,0.0,0.0
3,14.8,28.268820509962726,50.0,26.531179490037278,0.0,1.6016131683590673,0.0,1.6016131683590673,0.48048395050772114
4,14.8,20.445880339975147,34.35411966002485,65.64588033997515,0.0,1.307711675934004,0.0,1.307711675934004,0.39231350278020105
5,14.8,34.225709397082504,14.976136754314114,41.24403418857853,0.0,2.0379214573874034,0.0,2.0379214573874034,0.6113764372162199
6,14.8,42.46332762992959,40.72568661000414,12.902746440016566,0.0,2.2012067548415275,0.0,2.2012067548415275,0.6603620264524579
7,14.8,76.57443118227638,52.820045126376144,12.015945848348627,0.0,1.5822770892848386,0.0,1.5822770892848386,0.47468312678545416
8,14.8,63.96069922962726,4.904979251341867,66.75593879679114,0.0,2.1492077253469364,0.0,2.1492077253469364,0.6447623176040781
9,14.8,39.20493205278268,17.16486162534298,42.374579255399986,0.0,1.8373270900157235,0.0,1.8373270900157235,0.5511981270047148
0,15.0,16.17402180422803,14.412989097885983,14.412989097885983,0.0,1.8743343729494661,0.0,1.8743343729494661,0.5623003118848405
1,15.0,83.82597819577197,14.412989097885983,14.412989097885983,0.0,1.874334372949478,0.0,1.874334372949478,0.562300311884842
2,15.0,50.0,35.0,50.0,0.0,0.0,0.0,0.0,0.0
3,15.0,28.380516353171025,50.0,26.61948364682898,0.0,1.623221182160613,0.0,1.623221182160613,0.48696635464818355
4,15.0,20.587010902114013,34.41298909788598,65.58701090211402,0.0,1.3253545453236097,0.0,1.3253545453236097,0.3976063635970824
5,15.0,34.282740762276894,15.043416111869696,41.260854027967426,0.0,2.0654158835370167,0.0,2.0654158835370167,0.6196247650611031
6,15.0,42.49653088932305,40.735498182981,12.941992731923989,0.0,2.230904129262733,0.0,2.230904129262733,0.6692712387788203
7,15.0,76.46061603930508,52.76353046602946,12.08376344076465,0.0,1.603624232189616,0.0,1.603624232189616,0.48108726965688203
8,15.0,63.919708583196126,4.957776131385483,66.75263899178842,0.0,2.178203559740121,0.0,2.178203559740121,0.6534610679220387
9,15.0,39.288723299248325,17.24821301821066,42.366123316993125,0.0,1.8621152160772088,0.0,1.8621152160772088,0.5586345648231597
0,15.2,16.25628292850576,14.471858535747117,14.471858535747117,0.0,1.899285158119423,0.0,1.899285158119423,0.5697855474358287
1,15.2,83.74371707149423,14.471858535747117,14.471858535747117,0.0,1.8992851581194152,0.0,1.8992851581194152,0.5697855474358214
2,15.2,50.0,35.2,50.0,0.0,0.0,0.0,0.0,0.0
3,15.2,28.492212196379324,50.0,26.70778780362068,0.0,1.644829195962161,0.0,1.644829195962161,0.49344875878864847
4,15.2,20.72814146425288,34.47185853574712,65.52814146425288,0.0,1.3429974147132095,0.0,1.3429974147132095,0.4028992244139637
5,15.2,34.339772127471285,15.110695469425277,41.27767386735632,0.0,2.0929103096866277,0.0,2.0929103096866277,0.6278730929059863
6,15.2,42.5297341487165,40.745309755957855,12.98123902383141,0.0,2.260601503683923,0.0,2.260601503683923,0.6781804511051753
7,15.2,76.34680089633378,52.70701580568277,12.151581033180678,0.0,1.6249713750944097,0.0,1.6249713750944097,0.4874914125283189
8,15.2,63.878717936764986,5.0105730114291,66.74933918678569,0.0,2.2071993941333155,0.0,2.2071993941333155,0.6621598182399927
9,15.2,39.37251454571397,17.33156441107834,42.35766737858626,0.0,1.8869033421387005,0.0,1.8869033421387005,0.5660710026416085
0,15.4,16.338544052783497,14.53072797360825,14.53072797360825,0.0,1.924235943289383,0.0,1.924235943289383,0.5772707829868154
1,15.4,83.6614559472165,14.530727973608252,14.530727973608252,0.0,1.9242359432893823,0.0,1.9242359432893823,0.5772707829868154
2,15.4,50.0,35.4,50.0,0.0,4.973799150320701e-15,0.0,4.973799150320701e-15,0.0
3,15.4,28.603908039587626,50.0,26.79609196041238,0.0,1.6664372097637163,0.0,1.6664372097637163,0.4999311629291159
4,15.4,20.869272026391744,34.53072797360825,65.46927202639175,0.0,1.3606402841028171,0.0,1.3606402841028171,0.40819208523084916
5,15.4,34.39680349266568,15.17797482698086,41.294493706745214,0.0,2.1204047358362414,0.0,2.1204047358362414,0.6361214207508694
6,15.4,42.56293740810995,40.755121328934706,13.020485315738835,0.0,2.290298878105119,0.0,2.290298878105119,0.6870896634315378
7,15.4,76.23298575336247,52.65050114533608,12.219398625596707,0.0,1.646318517999184,0.0,1.646318517999184,0.49389555539975477
8,15.4,63.837727290333845,5.063369891472718,66.74603938178295,0.0,2.2361952285264945,0.0,2.2361952285264945,0.6708585685579463
9,15.4,39.45630579217961,17.41491580394602,42.34921144017939,0.0,1.9116914682001873,0.0,1.9116914682001873,0.5735074404600536
0,15.6,16.420805177061233,14.589597411469384,14.589597411469384,0.0,1.9491867284593303,0.0,1.9491867284593303,0.5847560185377978
1,15.6,83.57919482293877,14.589597411469384,14.589597411469384,0.0,1.9491867284593398,0.0,1.9491867284593398,0.5847560185378079
2,15.6,50.0,35.6,50.0,0.0,4.973799150320701e-15,0.0,4.973799150320701e-15,0.0
3,15.6,28.715603882795925,50.0,26.884396117204076,0.0,1.6880452235652623,0.0,1.6880452235652623,0.5064135670695783
4,15.6,21.010402588530617,34.589597411469384,65.41040258853062,0.0,1.378283153492414,0.0,1.378283153492414,0.4134849460477223
5,15.6,34.45383485786007,15.24525418453644,41.311313546134116,0.0,2.147899161985868,0.0,2.147899161985868,0.6443697485957606
6,15.6,42.59614066750341,40.764932901911564,13.059731607646258,0.0,2.3199962525263294,0.0,2.3199962525263294,0.6959988757579002
7,15.6,76.11917061039118,52.593986484989394,12.28721621801273,0.0,1.667665660903972,0.0,1.667665660903972,0.5002996982711959
8,15.6,63.7967366439027,5.116166771516335,66.74273957678022,0.0,2.265191062919695,0.0,2.265191062919695,0.6795573188759072
9,15.6,39.54009703864525,17.498267196813696,42.34075550177253,0.0,1.9364795942616702,0.0,1.9364795942616702,0.5809438782785021
