agent,time,x,y,z,original_x,original_y,original_z,distance,threshold,applied_force
0,9.0,9.0,0.0,0.0,9.0,0.0,0.0,19.0,-9.0,0.0
1,9.0,9.0,19.0,0.0,9.0,19.0,0.0,19.0,-9.0,0.0
2,9.0,10.0,10.0,9.0,10.0,10.0,9.0,13.490737563232042,-6.245368781616021,0.0
3,9.0,10.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0
0,9.2,9.0,0.2,0.0,9.0,0.2,0.0,18.801063799689636,-8.900531899844818,0.0
0,9.2,8.908957249956401,0.22276068751089984,0.0,9.0,0.2,0.0,0.8246211251235328,0.0876894374382336,0.1876894374382336
1,9.2,9.2,19.0,0.0,9.2,19.0,0.0,18.801063799689636,-8.900531899844818,0.0
2,9.2,10.0,10.0,9.2,10.0,10.0,9.2,13.478872356395398,-6.239436178197699,0.0
3,9.2,9.8910427500436,-0.02276068751089983,0.0,9.8,0.0,0.0,0.8246211251235328,0.0876894374382336,0.1876894374382336
0,9.4,9.0,0.4,0.0,9.0,0.4,0.0,18.604300578092154,-8.802150289046077,0.0
0,9.4,8.900384911698646,0.4664100588675688,0.0,9.0,0.4,0.0,0.7211102550927976,0.1394448724536012,0.23944487245360122
1,9.4,9.4,19.0,0.0,9.4,19.0,0.0,18.604300578092154,-8.802150289046077,0.0
2,9.4,10.0,10.0,9.4,10.0,10.0,9.4,13.472935834479433,-6.236467917239716,0.0
3,9.4,9.699615088301353,-0.0664100588675688,0.0,9.6,0.0,0.0,0.7211102550927976,0.1394448724536012,0.23944487245360122
0,9.6,9.0,0.6,0.0,9.0,0.6,0.0,18.40978000954927,-8.704890004774635,0.0
0,9.6,8.933589941132432,0.699615088301353,0.0,9.0,0.6,0.0,0.721110255092798,0.139444872453601,0.239444872453601
1,9.6,9.6,19.0,0.0,9.6,19.0,0.0,18.40978000954927,-8.704890004774635,0.0
2,9.6,10.0,10.0,9.6,10.0,10.0,9.6,13.472935834479433,-6.236467917239716,0.0
3,9.6,9.466410058867568,-0.09961508830135304,0.0,9.4,0.0,0.0,0.721110255092798,0.139444872453601,0.239444872453601
0,9.8,9.0,0.8,0.0,9.0,0.8,0.0,18.2175739328814,-8.6087869664407,0.0
0,9.8,8.9772393124891,0.8910427500435997,0.0,9.0,0.8,0.0,0.824621125123532,0.08768943743823399,0.187689437438234
1,9.8,9.8,19.0,0.0,9.8,19.0,0.0,18.2175739328814,-8.6087869664407,0.0
2,9.8,10.0,10.0,9.8,10.0,10.0,9.8,13.478872356395398,-6.239436178197699,0.0
3,9.8,9.222760687510899,-0.09104275004359962,0.0,9.2,0.0,0.0,0.824621125123532,0.08768943743823399,0.187689437438234
0,10.0,9.0,1.0,0.0,9.0,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,10.0,10.0,19.0,0.0,10.0,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,13.490737563232042,-6.245368781616021,0.0
3,10.0,9.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0
0,10.2,9.2,1.0,0.0,9.2,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,10.2,10.2,19.0,0.0,10.2,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,10.2,10.0,10.0,10.2,10.0,10.0,10.2,13.62644487751666,-6.31322243875833,0.0
3,10.2,8.8,0.0,0.0,8.8,0.0,0.0,1.0770329614269003,-0.03851648071345015,0.0
0,10.4,9.4,1.0,0.0,9.4,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,10.4,10.4,19.0,0.0,10.4,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,10.4,10.0,10.0,10.4,10.0,10.0,10.4,13.766626311482419,-6.3833131557412095,0.0
3,10.4,8.6,0.0,0.0,8.6,0.0,0.0,1.2806248474865702,-0.14031242374328512,0.0
0,10.6,9.6,1.0,0.0,9.6,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,10.6,10.6,19.0,0.0,10.6,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,10.6,10.0,10.0,10.6,10.0,10.0,10.6,13.91114660982336,-6.45557330491168,0.0
3,10.6,8.4,0.0,0.0,8.4,0.0,0.0,1.5620499351813304,-0.2810249675906652,0.0
0,10.8,9.8,1.0,0.0,9.8,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,10.8,10.8,19.0,0.0,10.8,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,10.8,10.0,10.0,10.8,10.0,10.0,10.8,14.05987197665754,-6.52993598832877,0.0
3,10.8,8.2,0.0,0.0,8.2,0.0,0.0,1.886796226411322,-0.443398113205661,0.0
0,11.0,10.0,1.0,0.0,10.0,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,11.0,11.0,19.0,0.0,11.0,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,11.0,10.0,10.0,11.0,10.0,10.0,11.0,14.212670403551895,-6.606335201775948,0.0
3,11.0,8.0,0.0,0.0,8.0,0.0,0.0,2.23606797749979,-0.6180339887498949,0.0
0,11.2,10.2,1.0,0.0,10.2,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,11.2,11.2,19.0,0.0,11.2,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,11.2,10.0,10.0,11.2,10.0,10.0,11.2,14.369411957348845,-6.6847059786744225,0.0
3,11.2,7.8,0.0,0.0,7.8,0.0,0.0,2.5999999999999996,-0.7999999999999998,0.0
0,11.4,10.4,1.0,0.0,10.4,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
